Serial Number,Name,Symptoms
891,Dumping syndrome,"Feeling bloated or too full after eating,Nausea,Vomiting,Abdominal cramps,Diarrhea,Flushing,Dizziness, lightheadedness,Rapid heart rate,"
892,Hypothyroidism (underactive thyroid),"Fatigue,Increased sensitivity to cold,Constipation,Dry skin,Weight gain,Puffy face,Hoarseness,Muscle weakness,Elevated blood cholesterol level,Muscle aches, tenderness and stiffness,Pain, stiffness or swelling in your joints,Heavier than normal or irregular menstrual periods,Thinning hair,Slowed heart rate,Depression,Impaired memory,Enlarged thyroid gland (goiter),"
893,Kidney cysts,"Dull pain in your back or side,Fever,Upper abdominal pain,"
894,Gout,"Intense joint pain. Gout usually affects the large joint of your big toe, but it can occur in any joint. Other commonly affected joints include the ankles, knees, elbows, wrists and fingers. The pain is likely to be most severe within the first four to 12 hours after it begins.,Lingering discomfort. After the most severe pain subsides, some joint discomfort may last from a few days to a few weeks. Later attacks are likely to last longer and affect more joints.,Inflammation and redness. The affected joint or joints become swollen, tender, warm and red.,Limited range of motion. As gout progresses, you may not be able to move your joints normally.,"
895,Sweet's syndrome,"Sex. In general, women are more likely to have Sweet's syndrome than are men.,Age. Though older adults and even infants can develop Sweet's syndrome, the condition mainly affects people between the ages of 30 and 60.,Cancer. Sweet's syndrome is sometimes associated with cancer, most often leukemia. Sometimes, Sweet's syndrome may be associated with a solid tumor, such as breast or colon cancer.,Other health problems. Sweet's syndrome may follow an upper respiratory infection, and many people report having flu-like symptoms before the rash appears. Sweet's syndrome can also be associated with inflammatory bowel disease.,Pregnancy. Some women develop Sweet's syndrome during pregnancy.,Drug sensitivity. Sweet's syndrome may result from a sensitivity to medication. Drugs linked to Sweet's syndrome include azathioprine (Azasan, Imuran), granulocyte colony stimulating factor, certain antibiotics and some nonsteroidal anti-inflammatory drugs.,"
896,Metatarsalgia,"Sharp, aching or burning pain in the ball of your foot — the part of the sole just behind your toes,Pain that worsens when you stand, run, flex your feet or walk — especially barefoot on a hard surface — and improves when you rest,Sharp or shooting pain, numbness, or tingling in your toes,A feeling of having a pebble in your shoe,"
897,Prostatitis,"Pain or burning sensation when urinating (dysuria),Difficulty urinating, such as dribbling or hesitant urination,Frequent urination, particularly at night (nocturia),Urgent need to urinate,Cloudy urine,Blood in the urine,Pain in the abdomen, groin or lower back,Pain in the area between the scrotum and rectum (perineum),Pain or discomfort of the penis or testicles,Painful ejaculation,Flu-like signs and symptoms (with bacterial prostatitis),"
898,Ameloblastoma,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
899,Mouth cancer,"A lip or mouth sore that doesn't heal,A white or reddish patch on the inside of your mouth,Loose teeth,A growth or lump inside your mouth,Mouth pain,Ear pain,Difficult or painful swallowing,"
900,Greenstick fractures,"
Greenstick fracture
,"
901,Milia,"
Milia
,"
902,Heart palpitations,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
903,Listeria infection,"Fever,Chills,Muscle aches,Nausea,Diarrhea,"
904,Mold allergy,"Sneezing,Runny or stuffy nose,Cough and postnasal drip,Itchy eyes, nose and throat,Watery eyes,Dry, scaly skin,"
905,Bedsores (pressure ulcers),"Unusual changes in skin color or texture,Swelling,Pus-like draining,An area of skin that feels cooler or warmer to the touch than other areas,Tender areas,"
906,Hay fever,"Runny nose and nasal congestion,Watery, itchy, red eyes (allergic conjunctivitis),Sneezing,Cough,Itchy nose, roof of mouth or throat,Swollen, blue-colored skin under the eyes (allergic shiners),Postnasal drip,Fatigue,"
907,Bladder stones,"Lower abdominal pain,Pain during urination,Frequent urination,Difficulty urinating or interrupted urine flow,Blood in the urine,Cloudy or abnormally dark-colored urine,"
908,Farsightedness,"Nearby objects may appear blurry,You need to squint to see clearly,You have eyestrain, including burning eyes, and aching in or around the eyes,You have general eye discomfort or a headache after doing close tasks, such as reading, writing, computer work or drawing, for a time,"
909,Umbilical hernia,"Appears to be in pain,Begins to vomit,Has tenderness, swelling or discoloration at the site of the hernia,"
910,Hypercalcemia,"Kidneys. Excess calcium makes your kidneys work harder to filter it. This can cause excessive thirst and frequent urination.,Digestive system. Hypercalcemia can cause stomach upset, nausea, vomiting and constipation.,Bones and muscles. In most cases, the excess calcium in your blood was leached from your bones, which weakens them. This can cause bone pain and muscle weakness.,Brain. Hypercalcemia can interfere with how your brain works, resulting in confusion, lethargy and fatigue. It can also cause depression.,Heart. Rarely, severe hypercalcemia can interfere with your heart function, causing palpitations and fainting, indications of cardiac arrhythmia, and other heart problems.,"
911,Myelodysplastic syndromes,"Fatigue,Shortness of breath,Unusual paleness (pallor) which occurs due to a low red blood cell count (anemia),Easy or unusual bruising or bleeding which occurs due to a low blood platelet count (thrombocytopenia),Pinpoint-sized red spots just beneath your skin caused by bleeding (petechiae),Frequent infections which occurs due to a low white blood cell count (leukopenia),"
912,Polymorphous light eruption,"Dense clusters of small bumps and blisters,Red, raised rough patches,Itching or burning,"
913,Hypopituitarism,"Fatigue,Muscle weakness,Changes in body fat composition,Lack of ambition,Social isolation,"
914,Sleepwalking,"Get out of bed and walk around,Sit up in bed and open his or her eyes,Have a glazed, glassy-eyed expression,Not respond or communicate with others,Be difficult to wake up during an episode,Be disoriented or confused for a short time after being awakened,Not remember the episode in the morning,Have problems functioning during the day because of disturbed sleep,Have sleep terrors in addition to sleepwalking,"
915,Nonmelanoma skin cancer,"
Cutaneous B-cell lymphoma
,
Dermatofibrosarcoma protuberans
,
Sebaceous carcinoma
,"
916,C. difficile infection,"Watery diarrhea three or more times a day for two or more days,Mild abdominal cramping and tenderness,"
917,Osteomyelitis,"Fever,Swelling, warmth and redness over the area of the infection,Pain in the area of the infection,Fatigue,"
918,Achalasia,"Inability to swallow (dysphagia), which may feel like food or drink is stuck in your throat,Regurgitating food or saliva,Heartburn,Belching,Chest pain that comes and goes,Coughing at night,Pneumonia (from aspiration of food into the lungs),Weight loss,Vomiting,"
919,Hypertrophic cardiomyopathy,"Chest pain, especially during exercise,Fainting, especially during or just after exercise or exertion,Heart murmur, which a doctor might detect while listening to your heart,Sensation of rapid, fluttering or pounding heartbeats (palpitations),Shortness of breath, especially during exercise,"
920,Hypoglycemia,"An irregular or fast heartbeat,Fatigue,Pale skin,Shakiness,Anxiety,Sweating,Hunger,Irritability,Tingling or numbness of the lips, tongue or cheek,"
921,Medication overuse headaches,"Occur every day or nearly every day, often waking you in the early morning ,Improve with pain relief medication but then return as your medication wears off ,"
922,Dwarfism,"An average-size trunk,Short arms and legs, with particularly short upper arms and upper legs,Short fingers, often with a wide separation between the middle and ring fingers,Limited mobility at the elbows,A disproportionately large head, with a prominent forehead and a flattened bridge of the nose,Progressive development of bowed legs,Progressive development of swayed lower back,An adult height around 4 feet (122 cm),"
923,Dressler's syndrome,"Chest pain,Fever,"
924,Keratoconus,"Blurred or distorted vision,Increased sensitivity to bright light and glare, which can cause problems with night driving,A need for frequent changes in eyeglass prescriptions,Sudden worsening or clouding of vision,"
925,Lip cancer,"A flat or slightly raised whitish discoloration of the lip,A sore on your lip that won't heal,Tingling, pain or numbness of the lips or the skin around the mouth,"
926,"Multiple endocrine neoplasia, type 1 (MEN 1)","
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
927,Frontotemporal dementia,"Increasingly inappropriate social behavior,Loss of empathy and other interpersonal skills, such as having sensitivity to another's feelings,Lack of judgment,Loss of inhibition,Lack of interest (apathy), which can be mistaken for depression,Repetitive compulsive behavior, such as tapping, clapping or smacking lips,A decline in personal hygiene,Changes in eating habits, usually overeating or developing a preference for sweets and carbohydrates,Eating inedible objects,Compulsively wanting to put things in the mouth,"
928,Orthostatic hypotension (postural hypotension),"Lightheadedness or dizziness upon standing,Blurry vision,Weakness,Fainting (syncope),Confusion,Nausea,"
929,Serotonin syndrome,"Agitation or restlessness,Confusion,Rapid heart rate and high blood pressure,Dilated pupils,Loss of muscle coordination or twitching muscles,Muscle rigidity,Heavy sweating,Diarrhea,Headache,Shivering,Goose bumps,"
930,Congenital heart disease in adults,"Abnormal heart rhythms (arrhythmias),A bluish tint to the skin, lips and fingernails (cyanosis),Shortness of breath,Tiring quickly upon exertion,Swelling of body tissue or organs (edema),"
931,Acute sinusitis,"Thick, yellow or greenish discharge from the nose or down the back of the throat (postnasal drainage),Nasal blockage or congestion, causing difficulty breathing through your nose,Pain, tenderness, swelling and pressure around your eyes, cheeks, nose or forehead that worsens when bending over,"
932,Dupuytren's contracture,"Age. Dupuytren's contracture occurs most commonly after the age of 50.,Sex. Men are more likely to develop Dupuytren's and to have more severe contractures than are women.,Ancestry. People of Northern European descent are at higher risk of the disease.,Family history. Dupuytren's contracture often runs in families.,Tobacco and alcohol use. Smoking is associated with an increased risk of Dupuytren's contracture, perhaps because of microscopic changes within blood vessels caused by smoking. Alcohol intake also is associated with Dupuytren's.,Diabetes. People with diabetes are reported to have an increased risk of Dupuytren's contracture.,"
933,Ectropion,"
Eye exam
,"
934,Varicose veins,"Veins that are dark purple or blue in color,Veins that appear twisted and bulging; they are often like cords on your legs ,"
935,Broken foot,"Immediate, throbbing pain,Pain that increases with activity and decreases with rest,Swelling,Bruising,Tenderness,Deformity,Difficulty in walking or bearing weight,"
936,Soft tissue sarcoma,"
Chemotherapy
,
CT scan
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,
Radiation therapy
,
Ultrasound
,
X-ray
,"
937,Tooth abscess,"
CT scan
,
X-ray
,"
938,Menstrual cramps,"Throbbing or cramping pain in your lower abdomen that can be intense,Pain that starts 1 to 3 days before your period, peaks 24 hours after the onset of your period and subsides in 2 to 3 days,Dull, continuous ache,Pain that radiates to your lower back and thighs,"
939,Hantavirus pulmonary syndrome,"Fever and chills,Headaches and muscle aches,Vomiting, diarrhea or abdominal pain,"
940,Mastitis,"Breast tenderness or warmth to the touch,Breast swelling,Thickening of breast tissue, or a breast lump,Pain or a burning sensation continuously or while breast-feeding,Skin redness, often in a wedge-shaped pattern,Generally feeling ill,Fever of 101 F (38.3 C) or greater,"
941,Stuttering,"Difficulty starting a word, phrase or sentence,Prolonging a word or sounds within a word,Repetition of a sound, syllable or word,Brief silence for certain syllables or words, or pauses within a word (broken word),Addition of extra words such as ""um"" if difficulty moving to the next word is anticipated,Excess tension, tightness, or movement of the face or upper body to produce a word,Anxiety about talking,Limited ability to effectively communicate,"
942,Creutzfeldt-Jakob disease,"Personality changes,Anxiety,Depression,Memory loss,Impaired thinking,Blurred vision or blindness,Insomnia,Difficulty speaking,Difficulty swallowing,Sudden, jerky movements,"
943,Hemolytic uremic syndrome (HUS),"Diarrhea, which is often bloody,Abdominal pain, cramping or bloating,Vomiting,Fever,"
944,Nonmelanoma skin cancer,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
945,Strep throat,"Throat pain that usually comes on quickly,Painful swallowing,Red and swollen tonsils, sometimes with white patches or streaks of pus,Tiny red spots on the area at the back of the roof of the mouth (soft or hard palate),Swollen, tender lymph nodes in your neck,Fever,Headache,Rash,Nausea or vomiting, especially in younger children,Body aches,"
946,Pyoderma gangrenosum,"Your age and sex. The condition can affect anyone at any age, though it's more common between 20 and 50 years of age.,Having inflammatory bowel disease. People with a digestive tract disease such as ulcerative colitis or Crohn's disease are at increased risk of pyoderma gangrenosum.,Having arthritis. People with rheumatoid arthritis are at increased risk of pyoderma gangrenosum.,Having a blood disorder. People with acute myelogenous leukemia, myelodysplasia or a myeloproliferative disorder are at increased risk of pyoderma gangrenosum.,"
947,Heartburn,"A burning pain in the chest that usually occurs after eating and may occur at night,Pain that worsens when lying down or bending over,Bitter or acidic taste in the mouth,"
948,Malignant peripheral nerve sheath tumors,"Pain in the affected area,Weakness when trying to move the affected body part,A growing lump of tissue under the skin,"
949,Ear infection (middle ear),"Ear pain, especially when lying down,Tugging or pulling at an ear,Trouble sleeping,Crying more than usual,Fussiness,Trouble hearing or responding to sounds,Loss of balance,Fever of 100 F (38 C) or higher,Drainage of fluid from the ear,Headache,Loss of appetite,"
950,Carcinoid syndrome,"Skin flushing. The skin on your face and upper chest feels hot and changes color — ranging from pink to purple. Flushing episodes may last from a few minutes to a few hours or longer.
Flushing may happen for no obvious reason, though sometimes it can be triggered by stress, exercise or drinking alcohol.,Facial skin lesions. Purplish areas of spiderlike veins may appear on your nose and upper lip.,Diarrhea. Frequent, watery stools sometimes accompanied by abdominal cramps may occur in people who have carcinoid syndrome.,Difficulty breathing. Asthma-like signs and symptoms, such as wheezing and shortness of breath, may occur at the same time you experience skin flushing.,Rapid heartbeat. Periods of a fast heart rate could be a sign of carcinoid syndrome.,"
951,Cluster headache,"Excruciating pain that is generally situated in, behind or around one eye, but may radiate to other areas of your face, head and neck,One-sided pain,Restlessness,Excessive tearing,Redness of your eye on the affected side,Stuffy or runny nose on the affected side,Forehead or facial sweating on the affected side,Pale skin (pallor) or flushing on your face,Swelling around your eye on the affected side,Drooping eyelid on the affected side,"
952,Bladder cancer,"Blood in urine (hematuria),Painful urination,Pelvic pain,"
953,Dry macular degeneration,"Visual distortions, such as straight lines seeming bent,Reduced central vision in one or both eyes,The need for brighter light when reading or doing close work,Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant,Increased blurriness of printed words,Decreased intensity or brightness of colors,Difficulty recognizing faces,"
954,Gastroparesis,"
Bezoars: How do they happen?
,
Diabetic Gastroparesis
,"
955,Psoriasis,"Red patches of skin covered with thick, silvery scales,Small scaling spots (commonly seen in children),Dry, cracked skin that may bleed or itch,Itching, burning or soreness,Thickened, pitted or ridged nails,Swollen and stiff joints,"
956,Ureteral cancer,"Blood in urine,Back pain,Pain when urinating,Losing weight without trying,Fatigue,"
957,Corns and calluses,"A thick, rough area of skin,A hardened, raised bump,Tenderness or pain under your skin,Flaky, dry or waxy skin,"
958,Aortic valve regurgitation,"Fatigue and weakness, especially when you increase your activity level,Shortness of breath with exercise or when you lie down,Swollen ankles and feet,Chest pain (angina), discomfort or tightness, often increasing during exercise,Lightheadedness or fainting,Irregular pulse (arrhythmia),Heart murmur,Sensations of a rapid, fluttering heartbeat (palpitations),"
959,Churg-Strauss syndrome,"Hay fever,Fever,Loss of appetite and weight loss,Joint and muscle pain,Fatigue,Cough,Abdominal pain and gastrointestinal bleeding,Weakness, fatigue or a general feeling of being unwell,Rash or skin sores,Pain, numbness and tingling in your hands and feet,Severe abdominal pain,Shortness of breath,Blood in your urine or stools,"
960,Infant jaundice,"Your baby's skin becomes more yellow,The skin on your baby's the abdomen, arms or legs looks yellow,The whites of your baby's eyes look yellow,Your baby seems listless or sick or is difficult to awaken,Your baby isn't gaining weight or is feeding poorly,Your baby makes high-pitched cries,Your baby develops any other signs or symptoms that concern you,"
961,Phenylketonuria (PKU),"A musty odor in the breath, skin or urine, caused by too much phenylalanine in the body,Neurological problems that may include seizures,Skin rashes (eczema),Fair skin and blue eyes, because phenylalanine can't transform into melanin — the pigment responsible for hair and skin tone,Abnormally small head (microcephaly),Hyperactivity,Intellectual disability,Delayed development,Behavioral, emotional and social problems,Psychiatric disorders,"
962,Polyhydramnios,"Shortness of breath or the inability to breathe,Swelling in the lower extremities and abdominal wall,Uterine discomfort or contractions,Fetal malposition, such as breech presentation,"
963,Shigella infection,"Diarrhea (often containing blood or mucus),Abdominal pain or cramps,Fever,"
964,Sleep disorders,"
Mayo Clinic Minute: Adjusting for the end of daylight saving time
Nov. 01, 2019, 07:00 a.m.  CDT
,"
965,Toxoplasmosis,"Body aches,Swollen lymph nodes,Headache,Fever,Fatigue,"
966,Specific phobias,"Situations, such as airplanes, enclosed spaces or going to school,Nature, such as thunderstorms or heights,Animals or insects, such as dogs or spiders,Blood, injection or injury, such as needles, accidents or medical procedures,Others, such as choking, vomiting, loud noises or clowns,"
967,Binge-eating disorder,"Eating unusually large amounts of food in a specific amount of time, such as over a two-hour period,Feeling that your eating behavior is out of control,Eating even when you're full or not hungry,Eating rapidly during binge episodes,Eating until you're uncomfortably full,Frequently eating alone or in secret,Feeling depressed, disgusted, ashamed, guilty or upset about your eating,Frequently dieting, possibly without weight loss,"
968,Pilonidal cyst,"Pain,Reddening of the skin,Drainage of pus or blood from an opening in the skin,Foul smell from draining pus,"
969,Spinal cord tumor,"Pain at the site of the tumor due to tumor growth,Back pain, often radiating to other parts of your body,Feeling less sensitive to pain, heat and cold,Loss of bowel or bladder function,Difficulty walking, sometimes leading to falls,Back pain that's worse at night,Loss of sensation or muscle weakness, especially in your arms or legs,Muscle weakness , which may be mild or severe, in different parts of your body,"
970,Generalized anxiety disorder,"Persistent worrying or anxiety about a number of areas that are out of proportion to the impact of the events,Overthinking plans and solutions to all possible worst-case outcomes,Perceiving situations and events as threatening, even when they aren't,Difficulty handling uncertainty,Indecisiveness and fear of making the wrong decision,Inability to set aside or let go of a worry,Inability to relax, feeling restless, and feeling keyed up or on edge,Difficulty concentrating, or the feeling that your mind ""goes blank"","
971,Kidney stones,"Severe, sharp pain in the side and back, below the ribs,Pain that radiates to the lower abdomen and groin,Pain that comes in waves and fluctuates in intensity,Pain or burning sensation while urinating,"
972,Thrombocytopenia (low platelet count),"Easy or excessive bruising (purpura),Superficial bleeding into the skin that appears as a rash of pinpoint-sized reddish-purple spots (petechiae), usually on the lower legs,Prolonged bleeding from cuts,Bleeding from your gums or nose,Blood in urine or stools,Unusually heavy menstrual flows,Fatigue,Enlarged spleen,"
973,Retinoblastoma,"A white color in the center circle of the eye (pupil) when light is shone in the eye, such as when taking a flash photograph,Eyes that appear to be looking in different directions,Eye redness,Eye swelling,"
974,Stress incontinence,"Cough or sneeze,Laugh,Bend over,Lift something heavy,Exercise,Have sex,"
975,Hand-foot-and-mouth disease,"Fever,Sore throat,Feeling of being unwell (malaise),Painful, red, blister-like lesions on the tongue, gums and inside of the cheeks,A red rash, without itching but sometimes with blistering, on the palms, soles and sometimes the buttocks,Irritability in infants and toddlers,Loss of appetite,"
976,Naegleria infection,"A change in the sense of smell or taste,Fever,Sudden, severe headache,Stiff neck,Sensitivity to light,Nausea and vomiting,Confusion,Loss of balance,Sleepiness ,Seizures,Hallucinations,"
977,Hirsutism,"Deepening voice,Balding,Acne,Decreased breast size,Increased muscle mass,Enlargement of the clitoris,"
978,Glioma,"
Awake brain surgery
,
Computer-assisted brain surgery
,
CT scan
,
Intraoperative magnetic resonance imaging (iMRI)
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,"
979,Plague,"Situated in the groin, armpit or neck ,About the size of a chicken egg,Tender and firm to the touch ,"
980,Ureteral obstruction,"Pain,Changes in the amount of urine produced,Difficulty urinating,Blood in the urine,Repeated urinary tract infections,High blood pressure (hypertension),"
981,Pinched nerve,"Numbness or decreased sensation in the area supplied by the nerve,Sharp, aching or burning pain, which may radiate outward,Tingling, pins and needles sensations (paresthesia),Muscle weakness in the affected area,Frequent feeling that a foot or hand has ""fallen asleep"","
982,Indigestion,"Early fullness during a meal. You haven't eaten much of your meal, but you already feel full and may not be able to finish eating.,Uncomfortable fullness after a meal. Fullness lasts longer than it should.,Discomfort in the upper abdomen. You feel a mild to severe pain in the area between the bottom of your breastbone and your navel.,Burning in the upper abdomen. You feel an uncomfortable heat or burning sensation between the bottom of your breastbone and your navel.,Bloating in the upper abdomen. You feel an uncomfortable sensation of tightness due to a buildup of gas.,Nausea. You feel as though you want to vomit.,"
983,Canker sore,"Are usually small,Are oval shaped with a red edge,Heal without scarring in one to two weeks,"
984,Baby acne,"
Baby acne
,
Baby acne on cheek
,"
985,Cholestasis of pregnancy,"Yellowing of the skin and whites of the eyes (jaundice),Nausea,Loss of appetite,"
986,Autoimmune pancreatitis,"Dark urine,Pale stools or stools that float in the toilet,Yellow skin and eyes (jaundice),Pain in your upper abdomen or middle part of your back,Nausea and vomiting,Weakness or extreme tiredness,Loss of appetite or feelings of fullness,Weight loss for no known reason,"
987,Dry mouth,"Dryness or a feeling of stickiness in your mouth,Saliva that seems thick and stringy,Bad breath,Difficulty chewing, speaking and swallowing,Dry or sore throat and hoarseness,Dry or grooved tongue,A changed sense of taste,Problems wearing dentures,"
988,Meningioma,"Changes in vision, such as seeing double or blurriness,Headaches, especially those that are worse in the morning,Hearing loss or ringing in the ears,Memory loss,Loss of smell,Seizures,Weakness in your arms or legs,Language difficulty,"
989,Retractile testicle,"The testicle may be moved by hand from the groin into the scrotum and won't immediately retreat to the groin.,The testicle might spontaneously appear in the scrotum and remain there for a time.,The testicle might spontaneously disappear again for a time.,"
990,Thumb arthritis,"Swelling, stiffness and tenderness at the base of your thumb,Decreased strength when pinching or grasping objects,Decreased range of motion,Enlarged or bony appearance of the joint at the base of your thumb,"
991,Frozen shoulder,"Freezing stage. Any movement of your shoulder causes pain, and your shoulder's range of motion starts to become limited.,Frozen stage. Pain may begin to diminish during this stage. However, your shoulder becomes stiffer, and using it becomes more difficult.,Thawing stage. The range of motion in your shoulder begins to improve.,"
992,Thrombophlebitis,"Warmth, tenderness and pain in the affected area,Redness and swelling,"
993,Rabies,"Fever,Headache,Nausea,Vomiting,Agitation,Anxiety,Confusion,Hyperactivity,Difficulty swallowing,Excessive salivation,Fear brought on by attempts to drink fluids because of difficulty swallowing water,Hallucinations,Insomnia,Partial paralysis,"
994,External compression headaches,"
Book: Mayo Clinic Guide to Pain Relief
,"
995,Mosquito bites,"A puffy, white and reddish bump that appears a few minutes after the bite,A hard, itchy, reddish-brown bump, or multiple bumps, appearing a day or so after the bite or bites,Small blisters instead of hard bumps,Dark spots that look like bruises,"
996,Obesity,"Unhealthy diet. A diet that's high in calories, lacking in fruits and vegetables, full of fast food, and laden with high-calorie beverages and oversized portions contributes to weight gain.,Liquid calories. People can drink many calories without feeling full, especially calories from alcohol. Other high-calorie beverages, such as sugared soft drinks, can contribute to significant weight gain.,Inactivity. If you have a sedentary lifestyle, you can easily take in more calories every day than you burn through exercise and routine daily activities. Looking at computer, tablet and phone screens is a sedentary activity. The number of hours you spend in front of a screen is highly associated with weight gain.,"
997,Premature ejaculation,"Symptoms & causes,Diagnosis & treatment,"
998,Gestational diabetes,"Overweight and obesity.,A lack of physical activity.,Previous gestational diabetes or prediabetes.,Polycystic ovary syndrome.,Diabetes in an immediate family member.,Previously delivering a baby weighing more than 9 pounds (4.1 kilograms).,Nonwhite race — Women who are black, American Indian, Asian American and Pacific Islander and those of Hispanic descent have a higher risk of developing gestational diabetes.,"
999,Myofascial pain syndrome,"Deep, aching pain in a muscle,Pain that persists or worsens,A tender knot in a muscle,Difficulty sleeping due to pain,"
1000,Cholecystitis,"Symptoms & causes,Diagnosis & treatment,"
1001,REM sleep behavior disorder,"Movement, such as kicking, punching, arm flailing or jumping from bed, in response to action-filled or violent dreams, such as being chased or defending yourself from an attack,Noises, such as talking, laughing, shouting, emotional outcries or even cursing,Being able to recall the dream if you awaken during the episode,"
1002,Atrial fibrillation,"Palpitations, which are sensations of a racing, uncomfortable, irregular heartbeat or a flip-flopping in your chest,Weakness,Reduced ability to exercise,Fatigue,Lightheadedness,Dizziness,Shortness of breath,Chest pain,"
1003,Dislocated shoulder,"A visibly deformed or out-of-place shoulder,Swelling or bruising,Intense pain,Inability to move the joint,"
1004,Chagas disease,"Swelling at the infection site,Fever,Fatigue,Rash,Body aches,Eyelid swelling,Headache,Loss of appetite,Nausea, diarrhea or vomiting,Swollen glands,Enlargement of your liver or spleen,"
1005,Epilepsy,"Temporary confusion,A staring spell,Uncontrollable jerking movements of the arms and legs,Loss of consciousness or awareness,Psychic symptoms such as fear, anxiety or deja vu,"
1006,Nasopharyngeal carcinoma,"A lump in your neck caused by a swollen lymph node,Blood in your saliva,Bloody discharge from your nose,Nasal congestion or ringing in your ears,Hearing loss,Frequent ear infections,Sore throat,Headaches,"
1007,Presbyopia,"A tendency to hold reading material farther away to make the letters clearer,Blurred vision at normal reading distance,Eyestrain or headaches after reading or doing close-up work,"
1008,Osteoarthritis,"Pain. Affected joints might hurt during or after movement.,Stiffness. Joint stiffness might be most noticeable upon awakening or after being inactive.,Tenderness. Your joint might feel tender when you apply light pressure to or near it.,Loss of flexibility. You might not be able to move your joint through its full range of motion.,Grating sensation. You might feel a grating sensation when you use the joint, and you might hear popping or crackling.,Bone spurs. These extra bits of bone, which feel like hard lumps, can form around the affected joint.,Swelling. This might be caused by soft tissue inflammation around the joint.,"
1009,Calciphylaxis,"Large purple net-like patterns on skin,Deep, very painful lumps that ulcerate creating open sores with black-brown crust that fails to heal — typically in skin areas with high fat content, such as the stomach and thigh, although they can occur anywhere,Infections from wounds that don't heal,"
1010,Vitamin deficiency anemia,"Fatigue,Shortness of breath,Dizziness,Pale or yellowish skin,Irregular heartbeats,Weight loss,Numbness or tingling in your hands and feet,Muscle weakness,Personality changes,Unsteady movements,Mental confusion or forgetfulness,"
1011,Aortic valve stenosis,"Abnormal heart sound (heart murmur) heard through a stethoscope,Chest pain (angina) or tightness with activity,Feeling faint or dizzy or fainting with activity,Shortness of breath, especially when you have been active,Fatigue, especially during times of increased activity,Heart palpitations — sensations of a rapid, fluttering heartbeat,Not eating enough (mainly in children with aortic valve stenosis),Not gaining enough weight (mainly in children with aortic valve stenosis),"
1012,Broken wrist,"Severe pain that might worsen when gripping or squeezing or moving your hand or wrist,Swelling,Tenderness,Bruising,Obvious deformity, such as a bent wrist,"
1013,Focal segmental glomerulosclerosis (FSGS),"
Normal and Scarred Glomerulus
,"
1014,HPV infection,"
Genital warts. These appear as flat lesions, small cauliflower-like bumps or tiny stemlike protrusions. In women, genital warts appear mostly on the vulva but can also occur near the anus, on the cervix or in the vagina.
In men, genital warts appear on the penis and scrotum or around the anus. Genital warts rarely cause discomfort or pain, though they may itch or feel tender.
,Common warts. Common warts appear as rough, raised bumps and usually occur on the hands and fingers. In most cases, common warts are simply unsightly, but they can also be painful or susceptible to injury or bleeding.,Plantar warts. Plantar warts are hard, grainy growths that usually appear on the heels or balls of your feet. These warts might cause discomfort.,Flat warts. Flat warts are flat-topped, slightly raised lesions. They can appear anywhere, but children usually get them on the face and men tend to get them in the beard area. Women tend to get them on the legs.,"
1015,Iron deficiency anemia,"Extreme fatigue,Weakness,Pale skin,Chest pain, fast heartbeat or shortness of breath,Headache, dizziness or lightheadedness,Cold hands and feet,Inflammation or soreness of your tongue,Brittle nails,Unusual cravings for non-nutritive substances, such as ice, dirt or starch,Poor appetite, especially in infants and children with iron deficiency anemia,"
1016,Morphea,"Reddish or purplish oval patches of skin, often on the abdomen, chest or back,Patches that gradually develop a lighter or whitish center,Linear patches, especially on the arms or legs,A gradual change in the affected skin, which becomes hard, thickened, dry and shiny,Loss of hair and sweat glands in the affected area over time,"
1017,Lupus,"Fatigue,Fever,Joint pain, stiffness and swelling,Butterfly-shaped rash on the face that covers the cheeks and bridge of the nose or rashes elsewhere on the body,Skin lesions that appear or worsen with sun exposure (photosensitivity),Fingers and toes that turn white or blue when exposed to cold or during stressful periods (Raynaud's phenomenon),Shortness of breath,Chest pain,Dry eyes,Headaches, confusion and memory loss,"
1018,Trachoma,"Mild itching and irritation of the eyes and eyelids,Discharge from the eyes containing mucus or pus,Eyelid swelling,Light sensitivity (photophobia),Eye pain,"
